Name,Kilometers,Fuel_Clean,Price_clean,Year,Brand,Model,Features
2023 Maruti Suzuki XL6 Alpha Plus AT Petrol [2022-2023],56123,Petrol,1150000.0,2023,Maruti Suzuki,XL6,Alpha Plus AT Petrol [2022-2023]
2023 Hyundai Aura SX 1.2 CNG,34900,Petrol,685000.0,2023,Hyundai,Aura,SX 1.2 CNG
2019 Maruti Suzuki XL6 Alpha AT Petrol,35806,Petrol,1059000.0,2019,Maruti Suzuki,XL6,Alpha AT Petrol
2024 Maruti Suzuki Grand Vitara Zeta Smart Hybrid AT [2023-2025],5680,Petrol,1499000.0,2024,Maruti Suzuki,Grand Vitara,Zeta Smart Hybrid AT [2023-2025]
2016 Maruti Suzuki Baleno Zeta 1.2 AT,34036,Petrol,499000.0,2016,Maruti Suzuki,Baleno,Zeta 1.2 AT
2022 Maruti Suzuki XL6 Zeta MT Petrol,51352,Petrol,999000.0,2022,Maruti Suzuki,XL6,Zeta MT Petrol
2023 Maruti Suzuki Ertiga VXi (O) [2023-2025],15000,Petrol,975000.0,2023,Maruti Suzuki,Ertiga,VXi (O) [2023-2025]
2021 Toyota Fortuner 4x2 2WD Diesel 2.8L Turbo 6 Speed Manual,28000,Diesel,3475000.0,2021,Toyota,Fortuner,4x2 2WD Diesel 2.8L Turbo 6 Speed Manual
2021 Maruti Suzuki Ertiga VXI AT,67000,Petrol,844999.0,2021,Maruti Suzuki,Ertiga,VXI AT
2018 Renault Duster RXS CVT,73234,Petrol,599000.0,2018,Renault,Duster,RXS CVT
2023 Mahindra XUV700 AX7 Luxury Pack 2WD Petrol 2.0L Turbo Automatic 7 STR,31000,Petrol,1895000.0,2023,Mahindra,XUV700,AX7 Luxury Pack 2WD Petrol 2.0L Turbo Automatic 7 STR
2021 Maruti Suzuki DZire ZXi AGS,4950,Petrol,655000.0,2021,Maruti Suzuki,DZire,ZXi AGS
2019 Tata Nexon XMA Petrol,47065,Petrol,655000.0,2019,Tata,Nexon,XMA Petrol
2018 Skoda Kodiaq Style 2.0 TDI 4x4 AT,45289,Diesel,2050000.0,2018,Skoda,Kodiaq,Style 2.0 TDI 4x4 AT
2020 Maruti Suzuki XL6 Alpha MT Petrol,58911,Petrol,878999.0,2020,Maruti Suzuki,XL6,Alpha MT Petrol
2018 Tata Nexon XZ Plus,37829,Petrol,675000.0,2018,Tata,Nexon,XZ Plus
2023 Tata Safari XT Plus,70100,Diesel,1648999.0,2023,Tata,Safari,XT Plus
2019 Maruti Suzuki Swift VXi AMT,61451,Petrol,545000.0,2019,Maruti Suzuki,Swift,VXi AMT
2020 Renault Duster RXS Opt CVT,62214,Petrol,649000.0,2020,Renault,Duster,RXS Opt CVT
2023 Maruti Suzuki Ertiga VXi (O) [2023-2025],20700,Petrol,1059000.0,2023,Maruti Suzuki,Ertiga,VXi (O) [2023-2025]
2017 Tata Tiago Revotron XM [2016-2019],39728,Petrol,385000.0,2017,Tata,Tiago,Revotron XM [2016-2019]
2021 Mahindra Thar LX Convertible Top Petrol AT 4WD,23000,Petrol,1245000.0,2021,Mahindra,Thar,LX Convertible Top Petrol AT 4WD
2018 Maruti Suzuki Ertiga VXi,44959,Petrol,725000.0,2018,Maruti Suzuki,Ertiga,VXi
