o-o,o-j1,o-j5
2021 Skoda Rapid Style AT,"66,647 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 7.68 Lakh
2015 Honda Brio S MT,"49,410 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.84 Lakh
2023 Maruti Suzuki Grand Vitara Sigma Smart Hybrid [2023-2025],"22,000 km  |  Petrol  |  Sector 48, Chandigarh",Rs. 10.5 Lakh
2018 Tata Tiago Revotron XM [2016-2019],"44,704 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.63 Lakh
2014 Bentley Continental GT V8,"14,300 km  |  Petrol  |  Sector 56, Gurgaon",Rs. 1.1 Crore
2022 Hyundai Creta SX (O) 1.5 Diesel [2020-2022],"38,399 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 15.18 Lakh
2022 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,"45,900 km  |  CNG  |  Manimajra, Chandigarh",Rs. 5.46 Lakh
2022 Mercedes-Benz S-Class S 350d,"22,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 1.25 Crore
2024 BMW 7-Series 740i M Sport,"15,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 1.55 Crore
2020 Land Rover Range Rover Sport V8 SC Autobiography,"4,50,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 95 Lakh
2016 Mercedes-Benz S-Class S 500,"45,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 52 Lakh
2020 Toyota Fortuner 2.8 4x4 AT,"60,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 35 Lakh
2021 Land Rover Defender 110 X-Dynamic HSE 2.0 Petrol,"22,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 94 Lakh
2023 Mercedes-Benz GLS 400d 4MATIC [2020-2023],"42,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 1.05 Crore
2018 Volvo S90 D4 Inscription,"55,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 27 Lakh
2023 Mercedes-Benz GLS 400d 4MATIC [2020-2023],"32,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 1.05 Crore
2014 Land Rover Range Rover 3.0 V6 Diesel Vogue LWB,"68,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 68 Lakh
2018 Audi A6 35 TDI Matrix,"42,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 23.5 Lakh
2016 Audi A3 40 TFSI,"30,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 38 Lakh
2016 Land Rover Range Rover 3.0 V6 Diesel Vogue,"65,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 70 Lakh
2016 BMW 3-Series 320d Prestige,"48,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 14 Lakh
2019 Jaguar XJ 50,"48,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 38.5 Lakh
2017 Maserati Ghibli Diesel,"19,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 48 Lakh
2016 Mercedes-Benz GL-Class 350 CDI,"85,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 27.5 Lakh
2021 Mercedes-Benz E-Class E 220d Exclusive,"38,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 47 Lakh
