o-o,o-j1,o-j5
2023 Audi Q3 40 TFSI Premium Plus,"22,000 km  |  Petrol  |  Tilak Nagar, Delhi",Rs. 34 Lakh
2025 Mercedes-Benz C-Class C 200,"1 km  |  Mild Hybrid(Electric + Petrol)  |  Naraina, Delhi",Rs. 52.5 Lakh
2022 Mercedes-Benz GLC 200 Progressive,"35,000 km  |  Petrol  |  New Rajinder Nagar, Delhi",Rs. 47.5 Lakh
2022 BMW 3 Series Gran Limousine 330Li Luxury Line,"27,000 km  |  Petrol  |  Vikaspuri, Delhi",Rs. 42 Lakh
2018 Mercedes-Benz E-Class E 220d Expression [2019-2019],"45,000 km  |  Diesel  |  Patel Nagar, Delhi",Rs. 28.5 Lakh
2023 Jeep Compass Model S (O) 1.4 Petrol DCT [2021],"7,600 km  |  Petrol  |  Central Kirti Nagar, Delhi",Rs. 22.9 Lakh
2019 Maserati Levante Diesel,"50,500 km  |  Diesel  |  Rajouri Garden, Delhi",Rs. 72.75 Lakh
2020 Jeep Compass Limited Plus Petrol AT,"42,144 km  |  Petrol  |  Naraina, Delhi",Rs. 13.4 Lakh
2020 Mahindra XUV500 W9 [2018-2020],"75,546 km  |  Diesel  |  Naraina, Delhi",Rs. 11.25 Lakh
2022 Hyundai Alcazar Prestige (O) 7 STR 1.5 Diesel AT,"46,094 km  |  Diesel  |  Naraina, Delhi",Rs. 15.9 Lakh
2020 Maruti Suzuki Ertiga VXi,"44,000 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 8.4 Lakh
2022 Maruti Suzuki Ertiga VXi (O) CNG [2022-2023],"56,774 km  |  CNG + 1  |  Karol Bagh, Delhi",Rs. 9.5 Lakh
2024 Maruti Suzuki Fronx Alpha 1.0L Turbo MT,"7,200 km  |  Petrol  |  Rohini, Delhi",Rs. 8.95 Lakh
2023 Toyota Innova Hycross ZX (O) Hybrid 7 STR,"26,758 km  |  Hybrid (Electric + Petrol)  |  Karol Bagh, Delhi",Rs. 31.5 Lakh
2018 Toyota Innova Crysta 2.7 ZX AT 7 STR,"33,639 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 14.7 Lakh
2024 Mercedes-Benz GLS 450 4MATIC,"12,500 km  |  Petrol  |  Nimri, Delhi",Rs. 1.22 Crore
2025 BMW X1 sDrive18i M Sport,"2,000 km  |  Petrol  |  Naraina Vihar, Delhi",Rs. 47.5 Lakh
2022 BMW X5 xDrive40i M Sport,"30,000 km  |  Petrol  |  Naraina Vihar, Delhi",Rs. 75 Lakh
2024 Toyota Fortuner 4x2 2WD Diesel 2.8L Turbo Automatic,"31,000 km  |  Diesel  |  Pitampura, Delhi",Rs. 38.75 Lakh
2025 Toyota Innova Hyrcross GX Petrol Automatic (CVT) 8 STR,"7,000 km  |  Petrol  |  Pitampura, Delhi",Rs. 20.9 Lakh
2023 BMW X1 sDrive18d M Sport,"29,000 km  |  Diesel  |  Naraina Vihar, Delhi",Rs. 43.5 Lakh
2023 Toyota Innova Crysta 2.7 ZX AT 7 STR [2016-2020],"59,000 km  |  Petrol  |  Chittranjan Park, Delhi",Rs. 21.25 Lakh
2022 Toyota Innova Crysta ZX 2.7 AT 7 STR,"21,000 km  |  Petrol  |  Chittranjan Park, Delhi",Rs. 20.5 Lakh
2019 Ford Endeavour Titanium Plus 2.2 4x2 AT,"59,000 km  |  Diesel  |  Chittranjan Park, Delhi",Rs. 22.75 Lakh
2024 Land Rover Defender 110 HSE 2.0 Petrol,"27,000 km  |  Petrol  |  Naraina Vihar, Delhi",Rs. 1.1 Crore
2019 Ford Endeavour Titanium Plus 2.2 4x2 AT,"42,500 km  |  Diesel  |  Karol Bagh, Delhi",Rs. 23.51 Lakh
2019 BMW 3-Series 330i M Sport Edition,"57,000 km  |  Petrol  |  Naraina Vihar, Delhi",Rs. 26 Lakh
2021 Maruti Suzuki Ertiga VXI CNG,"58,000 km  |  CNG  |  Ram Nagar, Delhi",Rs. 8.49 Lakh
2024 Land Rover Defender 110 X 3.0 Petrol,"15,000 km  |  Petrol  |  Naraina Vihar, Delhi",Rs. 1.32 Crore
2025 Mahindra Thar Roxx AX5 L Diesel AT 2WD,"16,000 km  |  Diesel  |  Ram Nagar, Delhi",Rs. 19.5 Lakh
2019 Maserati Levante Diesel,"50,500 km  |  Diesel  |  Rajouri Garden, Delhi",Rs. 72.75 Lakh
2020 Jeep Compass Limited Plus Petrol AT,"42,144 km  |  Petrol  |  Naraina, Delhi",Rs. 13.4 Lakh
2020 Mahindra XUV500 W9 [2018-2020],"75,546 km  |  Diesel  |  Naraina, Delhi",Rs. 11.25 Lakh
2022 Hyundai Alcazar Prestige (O) 7 STR 1.5 Diesel AT,"46,094 km  |  Diesel  |  Naraina, Delhi",Rs. 15.9 Lakh
2020 Maruti Suzuki Ertiga VXi,"44,000 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 8.4 Lakh
2022 Maruti Suzuki Ertiga VXi (O) CNG [2022-2023],"56,774 km  |  CNG + 1  |  Karol Bagh, Delhi",Rs. 9.5 Lakh
2024 Maruti Suzuki Fronx Alpha 1.0L Turbo MT,"7,200 km  |  Petrol  |  Rohini, Delhi",Rs. 8.95 Lakh
2023 Toyota Innova Hycross ZX (O) Hybrid 7 STR,"26,758 km  |  Hybrid (Electric + Petrol)  |  Karol Bagh, Delhi",Rs. 31.5 Lakh
2018 Toyota Innova Crysta 2.7 ZX AT 7 STR,"33,639 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 14.7 Lakh
2024 Mercedes-Benz GLS 450 4MATIC,"12,500 km  |  Petrol  |  Nimri, Delhi",Rs. 1.22 Crore
2025 BMW X1 sDrive18i M Sport,"2,000 km  |  Petrol  |  Naraina Vihar, Delhi",Rs. 47.5 Lakh
2022 BMW X5 xDrive40i M Sport,"30,000 km  |  Petrol  |  Naraina Vihar, Delhi",Rs. 75 Lakh
2024 Toyota Fortuner 4x2 2WD Diesel 2.8L Turbo Automatic,"31,000 km  |  Diesel  |  Pitampura, Delhi",Rs. 38.75 Lakh
2025 Toyota Innova Hyrcross GX Petrol Automatic (CVT) 8 STR,"7,000 km  |  Petrol  |  Pitampura, Delhi",Rs. 20.9 Lakh
2025 Mahindra Thar Roxx AX5 L Diesel AT 2WD,"16,000 km  |  Diesel  |  Ram Nagar, Delhi",Rs. 19.5 Lakh
2023 Toyota Innova Hycross ZX (O) Hybrid 7 STR,"51,000 km  |  Hybrid (Electric + Petrol)  |  Ram Nagar, Delhi",Rs. 29.5 Lakh
2023 Toyota Innova Hyrcross ZX Hybrid 7 STR,"55,440 km  |  Hybrid (Electric + Petrol)  |  Mohan Coop. Indl.Area, Delhi",Rs. 29.5 Lakh
2021 Mahindra Scorpio S5 2WD 7 STR,"69,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 10.99 Lakh
2024 Maruti Suzuki FRONX Delta Plus 1.2L AGS,"7,000 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 8.5 Lakh
2021 Toyota Fortuner 2.8 4x4 AT,"46,000 km  |  Diesel  |  Mohan Coop. Indl.Area, Delhi",Rs. 35 Lakh
2019 Ford Endeavour Titanium Plus 2.2 4x2 AT,"59,000 km  |  Diesel  |  Pitampura, Delhi",Rs. 23.25 Lakh
2017 Toyota Camry Hybrid,"75,000 km  |  Petrol  |  Central Kirti Nagar, Delhi",Rs. 16.5 Lakh
2022 Toyota Urban Cruiser Hyryder V Hybrid [2022-2023],"24,000 km  |  Hybrid (Electric + Petrol)  |  Mohan Coop. Indl.Area, Delhi",Rs. 17.5 Lakh
2024 Maruti Suzuki Fronx Zeta 1.0L Turbo 6 AT,"9,500 km  |  Petrol  |  Rohini, Delhi",Rs. 9.45 Lakh
2020 Toyota Fortuner 2.8 4x2 MT [2016-2020],"28,442 km  |  Diesel  |  Mohan Coop. Indl.Area, Delhi",Rs. 29.5 Lakh
2024 Toyota Camry Hybrid,"29,000 km  |  Hybrid (Electric + Petrol)  |  Mohan Coop. Indl.Area, Delhi",Rs. 36.5 Lakh
2019 Ford Endeavour Titanium Plus 2.2 4x2 AT,"42,000 km  |  Diesel  |  Karol Bagh, Delhi",Rs. 23.5 Lakh
2021 Toyota Innova Crysta GX 2.4 AT 7 STR,"40,000 km  |  Diesel  |  Kirti Nagar, Delhi",Rs. 17.5 Lakh
2024 Maruti Suzuki Fronx Alpha 1.0L Turbo MT,"7,000 km  |  Petrol  |  Rohini, Delhi",Rs. 8.95 Lakh
2022 Tata Harrier XMA,"49,000 km  |  Diesel  |  Naraina, Delhi",Rs. 13.5 Lakh
2021 Toyota Innova Crysta 2.4 GX 7 STR [2016-2020],"29,858 km  |  Diesel  |  Mohan Coop. Indl.Area, Delhi",Rs. 19.75 Lakh
2020 Toyota Innova Crysta GX 2.4 AT 7 STR,"63,000 km  |  Diesel  |  Mohan Coop. Indl.Area, Delhi",Rs. 19 Lakh
2022 Toyota Camry Hybrid,"38,000 km  |  Hybrid (Electric + Petrol)  |  Ram Nagar, Delhi",Rs. 33.5 Lakh
2023 Maruti Suzuki Ertiga VXi (O) [2023-2025],"6,889 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 9.31 Lakh
2021 Toyota Innova Crysta 2.7 VX 7 STR [2016-2020],"23,354 km  |  Petrol  |  Mohan Coop. Indl.Area, Delhi",Rs. 18.25 Lakh
2025 Mahindra Thar Roxx AX7 L Petrol AT 2WD,"7,000 km  |  Petrol  |  Naraina, Delhi",Rs. 20.25 Lakh
2023 Toyota Innova Hyrcross ZX (O) Hybrid 7 STR,"56,000 km  |  Hybrid (Electric + Petrol)  |  Mohan Coop. Indl.Area, Delhi",Rs. 30.9 Lakh
2024 Toyota Urban Cruiser Hyryder V Hybrid [2023-2025],"4,700 km  |  Hybrid (Electric + Petrol)  |  Mohan Coop. Indl.Area, Delhi",Rs. 18.25 Lakh
2020 Toyota Fortuner 2.8 4x2 MT [2016-2020],"34,734 km  |  Diesel  |  Mohan Coop. Indl.Area, Delhi",Rs. 29 Lakh
2024 Maruti Suzuki Ertiga VXi (O) CNG [2023-2025],"5,000 km  |  CNG  |  Rohini, Delhi",Rs. 10.75 Lakh
2019 Toyota Corolla Altis VL AT Petrol,"62,036 km  |  Petrol  |  Karol Bagh, Delhi",Rs. 11.5 Lakh
2021 Tata Harrier XZA Plus,"59,372 km  |  Diesel  |  Ram Nagar, Delhi",Rs. 12.35 Lakh
2021 Skoda Superb L&K TSI AT,"93,583 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 18.49 Lakh
2022 Tata Tigor XZA Plus Dual Tone,"16,783 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 6.1 Lakh
2018 Hyundai Creta E Plus 1.6 Petrol,"48,448 km  |  Petrol  |  Rajapur, Delhi",Rs. 5.75 Lakh
2018 Toyota Corolla Altis VL AT Petrol,"56,972 km  |  Petrol  |  Rajapur, Delhi",Rs. 9.5 Lakh
2020 Jeep Compass Limited 1.4 Petrol AT [2017-2020],"67,055 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 10.99 Lakh
2023 BMW X1 sDrive18d M Sport,"29,000 km  |  Diesel  |  Naraina Vihar, Delhi",Rs. 43.5 Lakh
2023 Toyota Innova Crysta 2.7 ZX AT 7 STR [2016-2020],"59,000 km  |  Petrol  |  Chittranjan Park, Delhi",Rs. 21.25 Lakh
2022 Toyota Innova Crysta ZX 2.7 AT 7 STR,"21,000 km  |  Petrol  |  Chittranjan Park, Delhi",Rs. 20.5 Lakh
2019 Ford Endeavour Titanium Plus 2.2 4x2 AT,"59,000 km  |  Diesel  |  Chittranjan Park, Delhi",Rs. 22.75 Lakh
2024 Land Rover Defender 110 HSE 2.0 Petrol,"27,000 km  |  Petrol  |  Naraina Vihar, Delhi",Rs. 1.1 Crore
2019 Ford Endeavour Titanium Plus 2.2 4x2 AT,"42,500 km  |  Diesel  |  Karol Bagh, Delhi",Rs. 23.51 Lakh
2019 BMW 3-Series 330i M Sport Edition,"57,000 km  |  Petrol  |  Naraina Vihar, Delhi",Rs. 26 Lakh
2021 Maruti Suzuki Ertiga VXI CNG,"58,000 km  |  CNG  |  Ram Nagar, Delhi",Rs. 8.49 Lakh
2024 Land Rover Defender 110 X 3.0 Petrol,"15,000 km  |  Petrol  |  Naraina Vihar, Delhi",Rs. 1.32 Crore
2025 Mahindra Thar Roxx AX5 L Diesel AT 2WD,"16,000 km  |  Diesel  |  Ram Nagar, Delhi",Rs. 19.5 Lakh
2023 Toyota Innova Hycross ZX (O) Hybrid 7 STR,"51,000 km  |  Hybrid (Electric + Petrol)  |  Ram Nagar, Delhi",Rs. 29.5 Lakh
2023 Toyota Innova Hyrcross ZX Hybrid 7 STR,"55,440 km  |  Hybrid (Electric + Petrol)  |  Mohan Coop. Indl.Area, Delhi",Rs. 29.5 Lakh
2021 Mahindra Scorpio S5 2WD 7 STR,"69,000 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 10.99 Lakh
2024 Maruti Suzuki FRONX Delta Plus 1.2L AGS,"7,000 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 8.5 Lakh
2021 Toyota Fortuner 2.8 4x4 AT,"46,000 km  |  Diesel  |  Mohan Coop. Indl.Area, Delhi",Rs. 35 Lakh
2019 Ford Endeavour Titanium Plus 2.2 4x2 AT,"59,000 km  |  Diesel  |  Pitampura, Delhi",Rs. 23.25 Lakh
2017 Toyota Camry Hybrid,"75,000 km  |  Petrol  |  Central Kirti Nagar, Delhi",Rs. 16.5 Lakh
2022 Toyota Urban Cruiser Hyryder V Hybrid [2022-2023],"24,000 km  |  Hybrid (Electric + Petrol)  |  Mohan Coop. Indl.Area, Delhi",Rs. 17.5 Lakh
2024 Maruti Suzuki Fronx Zeta 1.0L Turbo 6 AT,"9,500 km  |  Petrol  |  Rohini, Delhi",Rs. 9.45 Lakh
2020 Toyota Fortuner 2.8 4x2 MT [2016-2020],"28,442 km  |  Diesel  |  Mohan Coop. Indl.Area, Delhi",Rs. 29.5 Lakh
2024 Toyota Camry Hybrid,"29,000 km  |  Hybrid (Electric + Petrol)  |  Mohan Coop. Indl.Area, Delhi",Rs. 36.5 Lakh
2019 Ford Endeavour Titanium Plus 2.2 4x2 AT,"42,000 km  |  Diesel  |  Karol Bagh, Delhi",Rs. 23.5 Lakh
2021 Toyota Innova Crysta GX 2.4 AT 7 STR,"40,000 km  |  Diesel  |  Kirti Nagar, Delhi",Rs. 17.5 Lakh
2024 Maruti Suzuki Fronx Alpha 1.0L Turbo MT,"7,000 km  |  Petrol  |  Rohini, Delhi",Rs. 8.95 Lakh
2022 Tata Harrier XMA,"49,000 km  |  Diesel  |  Naraina, Delhi",Rs. 13.5 Lakh
2021 Toyota Innova Crysta 2.4 GX 7 STR [2016-2020],"29,858 km  |  Diesel  |  Mohan Coop. Indl.Area, Delhi",Rs. 19.75 Lakh
2020 Toyota Innova Crysta GX 2.4 AT 7 STR,"63,000 km  |  Diesel  |  Mohan Coop. Indl.Area, Delhi",Rs. 19 Lakh
2022 Toyota Camry Hybrid,"38,000 km  |  Hybrid (Electric + Petrol)  |  Ram Nagar, Delhi",Rs. 33.5 Lakh
2023 Maruti Suzuki Ertiga VXi (O) [2023-2025],"6,889 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 9.31 Lakh
2021 Toyota Innova Crysta 2.7 VX 7 STR [2016-2020],"23,354 km  |  Petrol  |  Mohan Coop. Indl.Area, Delhi",Rs. 18.25 Lakh
