o-o,o-j1,o-j5
2022 Land Rover Range Rover Velar S R-Dynamic 2.0 Petrol,"48,190 km  |  Petrol  |  Yelahanka, Bangalore",Rs. 79 Lakh
2022 Jeep Compass Model S (O) Diesel 4x4 AT,"40,000 km  |  Diesel  |  Binnamangala, Bangalore",Rs. 22.75 Lakh
2023 Mercedes-Benz A-Class Limousine 200,"8,250 km  |  Petrol  |  Basapura, Bangalore",Rs. 39.75 Lakh
2022 Maruti Suzuki Vitara Brezza VXi [2023-2025],"96,899 km  |  Petrol  |  Koramangala 6th block, Bangalore",Rs. 7.25 Lakh
2017 Volvo XC90 Excellence [2016-2020],"1,25,248 km  |  Petrol  |  Adugodi, Bangalore",Rs. 39.39 Lakh
2018 Renault Kwid CLIMBER 1.0 AMT [2017-2019],"67,749 km  |  Petrol  |  Banaswadi, Bangalore",Rs. 3.02 Lakh
2017 BMW X1 sDrive20d Expedition,"80,099 km  |  Diesel  |  Basapura, Bangalore",Rs. 17.5 Lakh
2021 Tata Nexon XZ Plus (S) [2022-2023],"39,830 km  |  Petrol  |  Banaswadi, Bangalore",Rs. 8.02 Lakh
2017 Renault Duster RXS CVT,"63,272 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 6.99 Lakh
2018 Maruti Suzuki Baleno Alpha Automatic,"53,378 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 6.95 Lakh
2023 Hyundai Venue SX (O) 1.0 Turbo DCT,"8,314 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 12.95 Lakh
2021 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],"44,736 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 14.25 Lakh
2023 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],"13,498 km  |  Diesel  |  Adugodi, Bangalore",Rs. 16.31 Lakh
2023 Mahindra XUV700 AX 7 Petrol AT Luxury Pack 7 STR [2021],"26,097 km  |  Petrol  |  Adugodi, Bangalore",Rs. 20.49 Lakh
2022 Jeep Compass Model S (O) Diesel 4x4 AT,"48,606 km  |  Diesel  |  Kothanur, Bangalore",Rs. 23.49 Lakh
2020 Tata Nexon XM,"17,763 km  |  Petrol  |  Kothanur, Bangalore",Rs. 7.95 Lakh
2016 Maruti Suzuki Swift ZXi,"64,078 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 5.85 Lakh
2023 Kia Seltos GTX Plus 1.5 Turbo Petrol DCT [2023-2024],"21,571 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 18.5 Lakh
2022 Mahindra XUV700 AX7 Luxury Pack 2WD Diesel 2.2L Turbo Automatic 7 STR,"50,315 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 21.75 Lakh
2021 MG Hector Sharp 2.0 Diesel [2019-2020],"42,196 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 15.75 Lakh
2017 Mahindra XUV500 W8 AT [2015-2017],"70,788 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 10.95 Lakh
2019 Maruti Suzuki Vitara Brezza ZDi Plus,"47,909 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 9.5 Lakh
2022 Volkswagen Taigun GT Plus 1.5 TSI DSG,"56,222 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 15.95 Lakh
2022 Mahindra XUV700 AX7 Luxury Pack 2WD Diesel 2.2L Turbo Automatic 7 STR,"35,787 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 22.75 Lakh
2020 BMW X1 sDrive20d xLine,"42,512 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 30.99 Lakh
2022 Hyundai Venue S 1.2 Petrol,"26,292 km  |  Petrol  |  Singasandra, Bangalore",Rs. 7.99 Lakh
2021 Tata Harrier XT Plus,"29,899 km  |  Diesel  |  Singasandra, Bangalore",Rs. 16.99 Lakh
2021 Volkswagen Taigun Topline 1.0 TSI MT,"22,721 km  |  Petrol  |  Singasandra, Bangalore",Rs. 12.5 Lakh
2018 BMW X1 sDrive20d xLine,"36,620 km  |  Diesel  |  Koramangala, Bangalore",Rs. 26.75 Lakh
2016 BMW 3-Series 320d Luxury Line,"55,800 km  |  Diesel  |  Yelahanka, Bangalore",Rs. 21.5 Lakh
2016 BMW 5-Series 520d Luxury Line [2017-2019],"54,000 km  |  Diesel  |  Yelahanka, Bangalore",Rs. 25.95 Lakh
2021 BMW 3-Series 330i M Sport Edition,"46,780 km  |  Petrol  |  Yelahanka, Bangalore",Rs. 39 Lakh
2023 Hyundai Venue SX (O) 1.0 Turbo DCT,"8,314 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 12.95 Lakh
2021 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],"44,736 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 14.25 Lakh
2023 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],"13,498 km  |  Diesel  |  Adugodi, Bangalore",Rs. 16.31 Lakh
