o-o,o-j1,o-j5
2023 Maruti Suzuki Ciaz Alpha 1.5,"46,477 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 8.25 Lakh
2018 Honda Amaze 1.2 VX MT Petrol [2018-2020],"70,792 km  |  Petrol  |  Meghaninagar, Ahmedabad",Rs. 5.75 Lakh
2016 Honda Brio VX MT,"49,000 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 3.75 Lakh
2022 Hyundai Creta SX (O) 1.4 Turbo 7 DCT,"53,859 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 14.9 Lakh
2020 Mahindra XUV500 W11,"65,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 11.5 Lakh
2012 Maruti Suzuki Wagon R LXi,"54,000 km  |  Petrol + 1  |  Airport Rd, Ahmedabad",Rs. 2.05 Lakh
2024 Hyundai Creta SX (O) 1.5 Petrol CVT,"30,600 km  |  Petrol  |  Meghaninagar, Ahmedabad",Rs. 15.9 Lakh
2022 Hyundai Creta SX 1.5 Petrol [2020-2022],"17,000 km  |  Petrol  |  Bodakdev, Ahmedabad",Rs. 12.75 Lakh
2018 Hyundai Creta E Plus 1.6 Petrol,"68,000 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 6.9 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,"41,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 12.6 Lakh
2021 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],"66,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 12.9 Lakh
2018 Maruti Suzuki Swift ZXi AMT [2018-2019],"60,200 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 5.2 Lakh
2020 Mahindra XUV500 W11,"65,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 11.5 Lakh
2022 Hyundai Creta SX (O) 1.5 Diesel AT,"40,700 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 16.9 Lakh
2022 Hyundai Verna SX (O) 1.5 CRDi,"83,500 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 12.65 Lakh
2015 Maruti Suzuki Swift DZire VXI,"30,931 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 4.51 Lakh
2020 Kia Seltos GTX Plus 1.4 DCT,"64,285 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 10.51 Lakh
2022 Hyundai Venue SX 1.2 Petrol,"43,486 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 8.65 Lakh
2019 Maruti Suzuki Ignis Delta 1.2 MT,"45,990 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 4.21 Lakh
2020 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,"72,518 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 4.91 Lakh
2018 Toyota Innova Crysta 2.4 V Diesel,"89,440 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 16.51 Lakh
2021 Hyundai Creta SX (O) 1.4 Turbo 7 DCT [2020-2022],"85,992 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 11 Lakh
2023 Skoda Kushaq Ambition 1.0 TSI AT,"48,916 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 11 Lakh
2021 Hyundai Creta SX 1.4 Turbo 7 DCT,"89,258 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 11.1 Lakh
2018 Hyundai Creta SX 1.6 AT Petrol,"76,429 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 9.25 Lakh
2018 Honda City VX CVT Petrol,"42,779 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 8.6 Lakh
2022 Kia Seltos GTX Plus 1.5 Diesel AT Dual Tone,"40,720 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 15 Lakh
2019 Hyundai Creta SX 1.6 AT Petrol,"39,101 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 10.25 Lakh
2021 Hyundai Creta SX 1.5 Diesel Executive,"73,072 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 13.75 Lakh
2021 Tata Harrier XTA Plus Dark Edition,"93,264 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 13.75 Lakh
2021 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,"58,227 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 5.25 Lakh
2019 Honda City V,"48,319 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 7.25 Lakh
2024 Hyundai Creta SX (O) 1.5 Petrol CVT,"30,600 km  |  Petrol  |  Meghaninagar, Ahmedabad",Rs. 15.9 Lakh
2022 Hyundai Creta SX 1.5 Petrol [2020-2022],"17,000 km  |  Petrol  |  Bodakdev, Ahmedabad",Rs. 12.75 Lakh
2018 Hyundai Creta E Plus 1.6 Petrol,"68,000 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 6.9 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,"41,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 12.6 Lakh
2021 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],"66,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 12.9 Lakh
2018 Maruti Suzuki Swift ZXi AMT [2018-2019],"60,200 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 5.2 Lakh
2020 Mahindra XUV500 W11,"65,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 11.5 Lakh
2022 Hyundai Creta SX (O) 1.5 Diesel AT,"40,700 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 16.9 Lakh
2022 Hyundai Verna SX (O) 1.5 CRDi,"83,500 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 12.65 Lakh
2015 Maruti Suzuki Swift DZire VXI,"30,931 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 4.51 Lakh
2020 Kia Seltos GTX Plus 1.4 DCT,"64,285 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 10.51 Lakh
2022 Hyundai Venue SX 1.2 Petrol,"43,486 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 8.65 Lakh
2019 Maruti Suzuki Ignis Delta 1.2 MT,"45,990 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 4.21 Lakh
2020 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,"72,518 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 4.91 Lakh
2018 Toyota Innova Crysta 2.4 V Diesel,"89,440 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 16.51 Lakh
2021 Hyundai Creta SX (O) 1.4 Turbo 7 DCT [2020-2022],"85,992 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 11 Lakh
2019 Honda City V,"48,319 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 7.25 Lakh
2016 Hyundai Creta SX Plus 1.6  Petrol,"92,650 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 7.2 Lakh
2019 Honda WR-V VX MT Petrol,"20,146 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 7.35 Lakh
