,Name
0,2023 Maruti Suzuki XL6 Alpha Plus AT Petrol [2022-2023]
1,2023 Hyundai Aura SX 1.2 CNG
2,2019 Maruti Suzuki XL6 Alpha AT Petrol
3,2024 Maruti Suzuki Grand Vitara Zeta Smart Hybrid AT [2023-2025]
4,2016 Maruti Suzuki Baleno Zeta 1.2 AT
5,2022 Maruti Suzuki XL6 Zeta MT Petrol
6,2023 Maruti Suzuki Ertiga VXi (O) [2023-2025]
7,2021 Toyota Fortuner 4x2 2WD Diesel 2.8L Turbo 6 Speed Manual
8,2021 Maruti Suzuki Ertiga VXI AT
9,2018 Renault Duster RXS CVT
10,2023 Mahindra XUV700 AX7 Luxury Pack 2WD Petrol 2.0L Turbo Automatic 7 STR
11,2021 Maruti Suzuki DZire ZXi AGS
12,2019 Tata Nexon XMA Petrol
13,2018 Skoda Kodiaq Style 2.0 TDI 4x4 AT
14,2020 Maruti Suzuki XL6 Alpha MT Petrol
15,2018 Tata Nexon XZ Plus
16,2023 Tata Safari XT Plus
17,2019 Maruti Suzuki Swift VXi AMT
18,2020 Renault Duster RXS Opt CVT
19,2023 Maruti Suzuki Ertiga VXi (O) [2023-2025]
20,2017 Tata Tiago Revotron XM [2016-2019]
21,2021 Mahindra Thar LX Convertible Top Petrol AT 4WD
22,2018 Maruti Suzuki Ertiga VXi
23,2021 Maruti Suzuki Ertiga ZXi Plus
24,2021 Maruti Suzuki XL6 Zeta MT Petrol
25,2018 Maruti Suzuki Baleno Alpha Automatic
26,2018 Jeep Compass Limited 1.4 Petrol AT [2017-2020]
27,2022 Maruti Suzuki XL6 Zeta MT Petrol
28,2022 MG Hector Sharp 2.0 Diesel Turbo MT
29,2019 Maruti Suzuki Baleno Zeta
30,2018 Maruti Suzuki Baleno Delta 1.2 AT
31,2018 Maruti Suzuki Baleno Zeta 1.2
32,2019 Maruti Suzuki Baleno Delta 1.2 AT
33,2018 BMW X1 sDrive20d xLine
34,2021 Maruti Suzuki XL6 Alpha AT Petrol
35,2022 Skoda Kushaq Ambition 1.0L TSI AT
36,2021 Maruti Suzuki Ertiga ZXi Plus
37,2018 Mahindra XUV500 W11 (O) AWD AT
38,2023 Mahindra Thar LX Hard Top Petrol AT RWD
39,2019 Maruti Suzuki Swift VXi AMT
40,2023 Skoda Kodiaq L&K 4X4 [2022]
41,2017 Mercedes-Benz GLC 220 d Progressive
42,2019 Maruti Suzuki Vitara Brezza ZDi AGS
43,2021 Maruti Suzuki XL6 Zeta MT Petrol
44,2019 Maruti Suzuki S-Cross Delta 1.3
45,2017 Skoda Rapid Ultima Elegance 1.6 MPI AT
46,2021 Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020]
47,2023 Mahindra XUV700 AX 7 Diesel AT 7 STR [2021]
48,2019 Maruti Suzuki Ertiga ZDI + SHVS
49,2024 Tata Safari Accomplished Plus Dual Tone AT 7 STR
50,2017 Maruti Suzuki Ciaz Alpha 1.4 AT
51,2019 Skoda Kodiaq Style 2.0 TDI 4x4 AT
52,2019 MG Hector Sharp 1.5 DCT Petrol [2019-2020]
53,2021 Hyundai Aura S 1.2 CNG
54,2023 Toyota Fortuner 4X2 AT 2.8 Diesel
55,2024 Maruti Suzuki Grand Vitara Alpha Plus Intelligent Hybrid e-CVT
56,2019 Maruti Suzuki Vitara Brezza ZDi AGS
57,2022 Hyundai Alcazar Signature (O) 7 Seater 1.5 Diesel AT
58,2023 Toyota Innova Hycross VX Hybrid (Electric + Petrol) Automatic (e-CVT) 7 STR
59,2023 Tata Safari XZA
60,2017 BMW 3 Series GT 320d Luxury Line
61,2023 Tata Safari Accomplished Plus 6 STR Dark Edition AT
62,2021 Jeep Compass Longitude (O) 1.4 Petrol AT
63,2017 Maruti Suzuki Ciaz Zeta 1.4 AT
64,2023 Skoda Slavia Style 1.5L TSI DSG
65,2022 Tata Nexon EV XZ Plus Dark Edition
66,2018 Mahindra XUV500 W10
67,2019 Honda Civic ZX CVT Petrol [2019-2020]
68,2017 Tata Tiago Revotron XZ
69,2018 Maruti Suzuki Celerio X Zxi [2017-2019]
70,2022 Toyota Innova Crysta VX 2.4 8 STR
71,2025 Mahindra XUV700 AX7 Luxury Pack 2WD Diesel 2.2L Turbo Automatic 7 STR
72,2025 Mahindra Thar Roxx AX7 L Diesel AT 4WD
73,2023 Kia Carnival Limousine Plus 7 STR
74,2019 Toyota Camry Hybrid
75,2021 Hyundai Venue SX Plus 1.0 Turbo DCT
76,2016 Maruti Suzuki Baleno Alpha 1.2
77,2020 Kia Sonet GTX Plus 1.0 DCT Dual Tone
