o-o,o-j1,o-j5
2023 Mercedes-Benz E-Class E 220d Exclusive,"8,300 km  |  Diesel  |  Archarya Jagadish, Kolkata",Rs. 53.5 Lakh
2019 Mercedes-Benz GLA 200 Sport,"44,600 km  |  Petrol  |  Sarat Bose Road, Kolkata",Rs. 15.5 Lakh
2021 Hyundai Verna SX 1.5 MPi,"7,500 km  |  Petrol  |  Bidhannagar Ib Market, Kolkata",Rs. 8.25 Lakh
2020 Hyundai Elite i20 Sportz 1.2 MT [2020-2023],"22,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.99 Lakh
2024 Hyundai Exter SX 1.2 MT,"16,700 km  |  Petrol  |  Moulali, Kolkata",Rs. 6.76 Lakh
2018 Audi Q3 30 TFSI Premium,"42,400 km  |  Petrol  |  Sarat Bose Road, Kolkata",Rs. 14.5 Lakh
2023 BMW 3-Series 330Li M Sport [2023],"23,953 km  |  Petrol  |  Beleghata, Kolkata",Rs. 41.99 Lakh
2025 BMW 3-Series xDrive,"3,500 km  |  Petrol  |  Archarya Jagadish, Kolkata",Rs. 68 Lakh
2021 Kia Sonet HTX 1.5 [2020-2021],"36,800 km  |  Diesel  |  East Kolkata Twp, Kolkata",Rs. 7.45 Lakh
2024 Hyundai Creta SX 1.5 Petrol,"13,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 13.49 Lakh
2022 Maruti Suzuki Ciaz Sigma Hybrid 1.5 [2018-2020],"23,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 6.5 Lakh
2024 Kia Sonet HTX 1.0 Turbo Petrol iMT,"22,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 8.99 Lakh
2019 Honda City V,"60,331 km  |  Petrol  |  New Alipore, Kolkata",Rs. 5.65 Lakh
2020 Hyundai Elantra 2.0 SX (O) AT,"36,257 km  |  Petrol  |  New Alipore, Kolkata",Rs. 10.5 Lakh
2024 Kia Seltos HTX 1.5 Diesel MT [2024-2025],"11,000 km  |  Diesel  |  East Kolkata Twp, Kolkata",Rs. 14.75 Lakh
2023 MG Hector Savvy Pro 1.5 Turbo Petrol CVT [2023],"26,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 15.45 Lakh
