Name,Price,Kilometers,Fuel,Location,Price_Numeric
2023 Maruti Suzuki XL6 Alpha Plus AT Petrol [2022-2023],Rs. 11.5 Lakh,"56,123 km",Petrol,"Malad(W), Mumbai",1150000.0
2023 Hyundai Aura SX 1.2 CNG,Rs. 6.85 Lakh,"34,900 km",CNG,"Azad Nagar, Mumbai",685000.0
2019 Maruti Suzuki XL6 Alpha AT Petrol,Rs. 10.59 Lakh,"35,806 km",Petrol,"Malad(W), Mumbai",1059000.0
2024 Maruti Suzuki Grand Vitara Zeta Smart Hybrid AT [2023-2025],Rs. 14.99 Lakh,"5,680 km",Petrol,"Malad(W), Mumbai",1499000.0
2016 Maruti Suzuki Baleno Zeta 1.2 AT,Rs. 4.99 Lakh,"34,036 km",Petrol,"Malad(W), Mumbai",499000.0
2022 Maruti Suzuki XL6 Zeta MT Petrol,Rs. 9.99 Lakh,"51,352 km",Petrol,"Malad(W), Mumbai",999000.0
2023 Maruti Suzuki Ertiga VXi (O) [2023-2025],Rs. 9.75 Lakh,"15,000 km",Petrol,"Andheri (E), Mumbai",975000.0
2021 Toyota Fortuner 4x2 2WD Diesel 2.8L Turbo 6 Speed Manual,Rs. 34.75 Lakh,"28,000 km",Diesel,"Khar West, Mumbai",3475000.0
2021 Maruti Suzuki Ertiga VXI AT,Rs. 8.45 Lakh,"67,000 km",Petrol,"Azad Nagar, Mumbai",844999.9999999999
2018 Renault Duster RXS CVT,Rs. 5.99 Lakh,"73,234 km",Petrol,"Topiwala Center, Mumbai",599000.0
2023 Mahindra XUV700 AX7 Luxury Pack 2WD Petrol 2.0L Turbo Automatic 7 STR,Rs. 18.95 Lakh,"31,000 km",Petrol,"Azad Nagar, Mumbai",1895000.0
2021 Maruti Suzuki DZire ZXi AGS,Rs. 6.55 Lakh,"4,950 km",Petrol,"Borivali (W), Mumbai",655000.0
2019 Tata Nexon XMA Petrol,Rs. 6.55 Lakh,"47,065 km",Petrol,"Mulund (W), Mumbai",655000.0
2018 Skoda Kodiaq Style 2.0 TDI 4x4 AT,Rs. 20.5 Lakh,"45,289 km",Diesel,"J. B. Nagar, Mumbai",2050000.0
2020 Maruti Suzuki XL6 Alpha MT Petrol,Rs. 8.79 Lakh,"58,911 km",Petrol,"Malad(W), Mumbai",878999.9999999999
2018 Tata Nexon XZ Plus,Rs. 6.75 Lakh,"37,829 km",Petrol,"Malad(W), Mumbai",675000.0
2023 Tata Safari XT Plus,Rs. 16.49 Lakh,"70,100 km",Diesel,"Dadabhoy Road, Mumbai",1648999.9999999998
2019 Maruti Suzuki Swift VXi AMT,Rs. 5.45 Lakh,"61,451 km",Petrol,"Malad(W), Mumbai",545000.0
2020 Renault Duster RXS Opt CVT,Rs. 6.49 Lakh,"62,214 km",Petrol,"Malad(W), Mumbai",649000.0
2023 Maruti Suzuki Ertiga VXi (O) [2023-2025],Rs. 10.59 Lakh,"20,700 km",Petrol,"Malad(W), Mumbai",1059000.0
2017 Tata Tiago Revotron XM [2016-2019],Rs. 3.85 Lakh,"39,728 km",Petrol,"Mulund (W), Mumbai",385000.0
2021 Mahindra Thar LX Convertible Top Petrol AT 4WD,Rs. 12.45 Lakh,"23,000 km",Petrol,"Andheri (E), Mumbai",1245000.0
2018 Maruti Suzuki Ertiga VXi,Rs. 7.25 Lakh,"44,959 km",Petrol,"Mulund (W), Mumbai",725000.0
2021 Maruti Suzuki Ertiga ZXi Plus,Rs. 9.5 Lakh,"26,000 km",Petrol,"Bandra(W), Mumbai",950000.0
2021 Maruti Suzuki XL6 Zeta MT Petrol,Rs. 8.99 Lakh,"47,562 km",Petrol,"Malad(W), Mumbai",899000.0
2018 Maruti Suzuki Baleno Alpha Automatic,Rs. 5.85 Lakh,"41,158 km",Petrol,"Andheri (E), Mumbai",585000.0
2018 Jeep Compass Limited 1.4 Petrol AT [2017-2020],Rs. 9.45 Lakh,"40,626 km",Petrol,"Andheri (E), Mumbai",944999.9999999999
2022 Maruti Suzuki XL6 Zeta MT Petrol,Rs. 9.9 Lakh,"35,614 km",Petrol,"Andheri (E), Mumbai",990000.0
2022 MG Hector Sharp 2.0 Diesel Turbo MT,Rs. 14.51 Lakh,"31,023 km",Diesel,"Andheri (E), Mumbai",1451000.0
2019 Maruti Suzuki Baleno Zeta,Rs. 6.65 Lakh,"46,717 km",Petrol,"Borivali (W), Mumbai",665000.0
2018 Maruti Suzuki Baleno Delta 1.2 AT,Rs. 5.25 Lakh,"46,013 km",Petrol,"Andheri (E), Mumbai",525000.0
2018 Maruti Suzuki Baleno Zeta 1.2,Rs. 5.35 Lakh,"37,530 km",Petrol,"Kalina, Mumbai",535000.0
2019 Maruti Suzuki Baleno Delta 1.2 AT,Rs. 5.91 Lakh,"29,358 km",Petrol,"Andheri (E), Mumbai",591000.0
2018 BMW X1 sDrive20d xLine,Rs. 22.5 Lakh,"64,843 km",Diesel,"Veera Desai Road, Mumbai",2250000.0
2021 Maruti Suzuki XL6 Alpha AT Petrol,Rs. 10.5 Lakh,"35,757 km",Petrol,"Bandra(W), Mumbai",1050000.0
2022 Skoda Kushaq Ambition 1.0L TSI AT,Rs. 10.95 Lakh,"40,139 km",Petrol,"Bandra(W), Mumbai",1095000.0
2021 Maruti Suzuki Ertiga ZXi Plus,Rs. 9.85 Lakh,"16,377 km",Petrol,"Kalina, Mumbai",985000.0
2018 Mahindra XUV500 W11 (O) AWD AT,Rs. 12.49 Lakh,"45,869 km",Diesel,"Borivali (W), Mumbai",1249000.0
2023 Mahindra Thar LX Hard Top Petrol AT RWD,Rs. 13.25 Lakh,"19,884 km",Petrol,"Malad(W), Mumbai",1325000.0
2019 Maruti Suzuki Swift VXi AMT,Rs. 5.95 Lakh,"43,511 km",Petrol,"Juhu, Mumbai",595000.0
2023 Skoda Kodiaq L&K 4X4 [2022],Rs. 37 Lakh,"13,112 km",Petrol,"Juhu, Mumbai",3700000.0
2017 Mercedes-Benz GLC 220 d Progressive,Rs. 29.5 Lakh,"54,568 km",Diesel,"Juhu, Mumbai",2950000.0
2019 Maruti Suzuki Vitara Brezza ZDi AGS,Rs. 8.75 Lakh,"48,277 km",Diesel,"Borivali (W), Mumbai",875000.0
2021 Maruti Suzuki XL6 Zeta MT Petrol,Rs. 8.75 Lakh,"62,773 km",Petrol,"Topiwala Center, Mumbai",875000.0
2019 Maruti Suzuki S-Cross Delta 1.3,Rs. 7.95 Lakh,"37,920 km",Diesel,"Andheri (E), Mumbai",795000.0
2017 Skoda Rapid Ultima Elegance 1.6 MPI AT,Rs. 5.55 Lakh,"64,165 km",Petrol,"Kalina, Mumbai",555000.0
2021 Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],Rs. 16.25 Lakh,"32,000 km",Petrol,"Andheri (E), Mumbai",1625000.0
2023 Mahindra XUV700 AX 7 Diesel AT 7 STR [2021],Rs. 21.7 Lakh,"7,000 km",Diesel,"Borivali (W), Mumbai",2170000.0
2019 Maruti Suzuki Ertiga ZDI + SHVS,Rs. 10.95 Lakh,"36,000 km",Diesel,"Borivali (W), Mumbai",1095000.0
2024 Tata Safari Accomplished Plus Dual Tone AT 7 STR,Rs. 25.65 Lakh,"16,800 km",Diesel,"Borivali (W), Mumbai",2565000.0
2017 Maruti Suzuki Ciaz Alpha 1.4 AT,Rs. 7.11 Lakh,"66,000 km",Petrol,"Borivali (W), Mumbai",711000.0
2019 Skoda Kodiaq Style 2.0 TDI 4x4 AT,Rs. 20 Lakh,"76,000 km",Diesel,"Borivali (W), Mumbai",2000000.0
2019 MG Hector Sharp 1.5 DCT Petrol [2019-2020],Rs. 10.35 Lakh,"46,000 km",Petrol,"Borivali (W), Mumbai",1035000.0
2021 Hyundai Aura S 1.2 CNG,Rs. 6.25 Lakh,"33,000 km",CNG,"Borivali (W), Mumbai",625000.0
2023 Toyota Fortuner 4X2 AT 2.8 Diesel,Rs. 39.95 Lakh,"39,500 km",Diesel,"Goregaon (W), Mumbai",3995000.0000000005
2024 Maruti Suzuki Grand Vitara Alpha Plus Intelligent Hybrid e-CVT,Rs. 19.75 Lakh,"21,000 km",Hybrid (Electric + Petrol),"Goregaon (W), Mumbai",1975000.0
2019 Maruti Suzuki Vitara Brezza ZDi AGS,Rs. 8.75 Lakh,"48,000 km",Diesel,"Goregaon (W), Mumbai",875000.0
2022 Hyundai Alcazar Signature (O) 7 Seater 1.5 Diesel AT,Rs. 17.75 Lakh,"61,000 km",Diesel,"Borivali (W), Mumbai",1775000.0
2023 Toyota Innova Hycross VX Hybrid (Electric + Petrol) Automatic (e-CVT) 7 STR,Rs. 27.75 Lakh,"14,000 km",Hybrid (Electric + Petrol),"Andheri (E), Mumbai",2775000.0
2023 Tata Safari XZA,Rs. 16.5 Lakh,"70,000 km",Diesel,"Jogeswari (W), Mumbai",1650000.0
