Brand,Model,Features
Maruti Suzuki,XL6,Alpha Plus AT Petrol [2022-2023]
Hyundai,Aura,SX 1.2 CNG
Maruti Suzuki,XL6,Alpha AT Petrol
Maruti Suzuki,Grand Vitara,Zeta Smart Hybrid AT [2023-2025]
Maruti Suzuki,Baleno,Zeta 1.2 AT
Maruti Suzuki,XL6,Zeta MT Petrol
Maruti Suzuki,Ertiga,VXi (O) [2023-2025]
Toyota,Fortuner,4x2 2WD Diesel 2.8L Turbo 6 Speed Manual
Maruti Suzuki,Ertiga,VXI AT
Renault,Duster,RXS CVT
Mahindra,XUV700,AX7 Luxury Pack 2WD Petrol 2.0L Turbo Automatic 7 STR
Maruti Suzuki,DZire,ZXi AGS
Tata,Nexon,XMA Petrol
Skoda,Kodiaq,Style 2.0 TDI 4x4 AT
Maruti Suzuki,XL6,Alpha MT Petrol
Tata,Nexon,XZ Plus
Tata,Safari,XT Plus
Maruti Suzuki,Swift,VXi AMT
Renault,Duster,RXS Opt CVT
Maruti Suzuki,Ertiga,VXi (O) [2023-2025]
Tata,Tiago,Revotron XM [2016-2019]
Mahindra,Thar,LX Convertible Top Petrol AT 4WD
Maruti Suzuki,Ertiga,VXi
Maruti Suzuki,Ertiga,ZXi Plus
Maruti Suzuki,XL6,Zeta MT Petrol
Maruti Suzuki,Baleno,Alpha Automatic
Jeep,Compass,Limited 1.4 Petrol AT [2017-2020]
Maruti Suzuki,XL6,Zeta MT Petrol
MG,Hector,Sharp 2.0 Diesel Turbo MT
Maruti Suzuki,Baleno,Zeta
Maruti Suzuki,Baleno,Delta 1.2 AT
Maruti Suzuki,Baleno,Zeta 1.2
Maruti Suzuki,Baleno,Delta 1.2 AT
BMW,X1,sDrive20d xLine
Maruti Suzuki,XL6,Alpha AT Petrol
Skoda,Kushaq,Ambition 1.0L TSI AT
Maruti Suzuki,Ertiga,ZXi Plus
Mahindra,XUV500,W11 (O) AWD AT
Mahindra,Thar,LX Hard Top Petrol AT RWD
