Name,Price,Kilometers,Fuel
2023 Maruti Suzuki Ciaz Alpha 1.5,Rs. 8.25 Lakh,"46,477",Petrol
2018 Honda Amaze 1.2 VX MT Petrol [2018-2020],Rs. 5.75 Lakh,"70,792",Petrol
2016 Honda Brio VX MT,Rs. 3.75 Lakh,"49,000",Petrol
2022 Hyundai Creta SX (O) 1.4 Turbo 7 DCT,Rs. 14.9 Lakh,"53,859",Petrol
2020 Mahindra XUV500 W11,Rs. 11.5 Lakh,"65,000",Diesel
2012 Maruti Suzuki Wagon R LXi,Rs. 2.05 Lakh,"54,000",Petrol + 1
2024 Hyundai Creta SX (O) 1.5 Petrol CVT,Rs. 15.9 Lakh,"30,600",Petrol
2022 Hyundai Creta SX 1.5 Petrol [2020-2022],Rs. 12.75 Lakh,"17,000",Petrol
2018 Hyundai Creta E Plus 1.6 Petrol,Rs. 6.9 Lakh,"68,000",Petrol
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,Rs. 12.6 Lakh,"41,000",Diesel
2021 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],Rs. 12.9 Lakh,"66,000",Diesel
2018 Maruti Suzuki Swift ZXi AMT [2018-2019],Rs. 5.2 Lakh,"60,200",Petrol
2020 Mahindra XUV500 W11,Rs. 11.5 Lakh,"65,000",Diesel
2022 Hyundai Creta SX (O) 1.5 Diesel AT,Rs. 16.9 Lakh,"40,700",Diesel
2022 Hyundai Verna SX (O) 1.5 CRDi,Rs. 12.65 Lakh,"83,500",Diesel
2015 Maruti Suzuki Swift DZire VXI,Rs. 4.51 Lakh,"30,931",Petrol
2020 Kia Seltos GTX Plus 1.4 DCT,Rs. 10.51 Lakh,"64,285",Petrol
2022 Hyundai Venue SX 1.2 Petrol,Rs. 8.65 Lakh,"43,486",Petrol
2019 Maruti Suzuki Ignis Delta 1.2 MT,Rs. 4.21 Lakh,"45,990",Petrol
2020 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,Rs. 4.91 Lakh,"72,518",Petrol
2018 Toyota Innova Crysta 2.4 V Diesel,Rs. 16.51 Lakh,"89,440",Diesel
2021 Hyundai Creta SX (O) 1.4 Turbo 7 DCT [2020-2022],Rs. 11 Lakh,"85,992",Petrol
2023 Skoda Kushaq Ambition 1.0 TSI AT,Rs. 11 Lakh,"48,916",Petrol
2021 Hyundai Creta SX 1.4 Turbo 7 DCT,Rs. 11.1 Lakh,"89,258",Petrol
2018 Hyundai Creta SX 1.6 AT Petrol,Rs. 9.25 Lakh,"76,429",Petrol
2018 Honda City VX CVT Petrol,Rs. 8.6 Lakh,"42,779",Petrol
2022 Kia Seltos GTX Plus 1.5 Diesel AT Dual Tone,Rs. 15 Lakh,"40,720",Diesel
2019 Hyundai Creta SX 1.6 AT Petrol,Rs. 10.25 Lakh,"39,101",Petrol
2021 Hyundai Creta SX 1.5 Diesel Executive,Rs. 13.75 Lakh,"73,072",Diesel
2021 Tata Harrier XTA Plus Dark Edition,Rs. 13.75 Lakh,"93,264",Diesel
2021 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,Rs. 5.25 Lakh,"58,227",Petrol
2019 Honda City V,Rs. 7.25 Lakh,"48,319",Petrol
2024 Hyundai Creta SX (O) 1.5 Petrol CVT,Rs. 15.9 Lakh,"30,600",Petrol
2022 Hyundai Creta SX 1.5 Petrol [2020-2022],Rs. 12.75 Lakh,"17,000",Petrol
2018 Hyundai Creta E Plus 1.6 Petrol,Rs. 6.9 Lakh,"68,000",Petrol
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,Rs. 12.6 Lakh,"41,000",Diesel
2021 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],Rs. 12.9 Lakh,"66,000",Diesel
2018 Maruti Suzuki Swift ZXi AMT [2018-2019],Rs. 5.2 Lakh,"60,200",Petrol
2020 Mahindra XUV500 W11,Rs. 11.5 Lakh,"65,000",Diesel
2022 Hyundai Creta SX (O) 1.5 Diesel AT,Rs. 16.9 Lakh,"40,700",Diesel
2022 Hyundai Verna SX (O) 1.5 CRDi,Rs. 12.65 Lakh,"83,500",Diesel
2015 Maruti Suzuki Swift DZire VXI,Rs. 4.51 Lakh,"30,931",Petrol
2020 Kia Seltos GTX Plus 1.4 DCT,Rs. 10.51 Lakh,"64,285",Petrol
2022 Hyundai Venue SX 1.2 Petrol,Rs. 8.65 Lakh,"43,486",Petrol
2019 Maruti Suzuki Ignis Delta 1.2 MT,Rs. 4.21 Lakh,"45,990",Petrol
2020 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,Rs. 4.91 Lakh,"72,518",Petrol
2018 Toyota Innova Crysta 2.4 V Diesel,Rs. 16.51 Lakh,"89,440",Diesel
2021 Hyundai Creta SX (O) 1.4 Turbo 7 DCT [2020-2022],Rs. 11 Lakh,"85,992",Petrol
2019 Honda City V,Rs. 7.25 Lakh,"48,319",Petrol
2016 Hyundai Creta SX Plus 1.6  Petrol,Rs. 7.2 Lakh,"92,650",Petrol
2019 Honda WR-V VX MT Petrol,Rs. 7.35 Lakh,"20,146",Petrol
2019 MG Hector Sharp 1.5 DCT Petrol [2019-2020],Rs. 10.5 Lakh,"66,776",Petrol
2023 Kia Seltos HTE 1.5 Diesel iMT [2023-2024],Rs. 11 Lakh,"51,885",Diesel
2018 Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],Rs. 6.35 Lakh,"51,062",Petrol
2023 Hyundai Grand i10 NIOS Sportz 1.2 Kappa AMT,Rs. 6.65 Lakh,"33,750",Petrol
2020 Ford Ecosport Titanium + 1.5L TDCi,Rs. 7.33 Lakh,"94,330",Diesel
2024 Maruti Suzuki Swift ZXi CNG,Rs. 7.75 Lakh,"51,803",CNG
2022 Maruti Suzuki Vitara Brezza ZXi [2023-2025],Rs. 9.65 Lakh,"67,387",Petrol
2020 Volkswagen Polo Highline Plus 1.0L TSI AT,Rs. 7.25 Lakh,"49,415",Petrol
2022 Skoda Slavia Style 1.0L TSI AT,Rs. 12.51 Lakh,"20,419",Petrol
2022 MG Astor Sharp 1.5 CVT Old Generation [2021-2023],Rs. 11.5 Lakh,"9,475",Petrol
2017 Honda Amaze 1.2 VX AT i-VTEC,Rs. 4.5 Lakh,"70,622",Petrol + 1
